record_id,company_id,reporting_date,commodity,volume_tonnes,grade_recovery_pct,cost_per_tonne_usd,head_grade,recovery_rate_pct
PR001,BHP001,2024-01-31,Iron Ore,65000000,62.3,14.80,58.2,88.5
PR002,BHP001,2024-02-28,Iron Ore,63500000,61.8,15.20,57.9,87.9
PR003,RIO002,2024-01-31,Iron Ore,68200000,64.1,16.50,62.1,90.2
PR004,RIO002,2024-02-28,Iron Ore,67000000,63.5,16.80,61.8,89.8
PR005,GLE003,2024-01-31,Copper,320000,1.85,4200.00,1.8,82.1
PR006,GLE003,2024-02-28,Copper,305000,1.79,4350.00,1.75,81.5
PR007,AAL004,2024-01-31,PGMs,8500,4.35,8900.00,4.2,79.3
PR008,VALE005,2024-01-31,Iron Ore,78000000,56.8,18.20,55.7,85.2
PR009,VALE005,2024-02-28,Iron Ore,76500000,55.9,18.60,55.3,84.8
PR010,FM006,2024-01-31,Copper,64000,0.48,5800.00,0.45,86.5
PR011,TECK007,2024-01-31,Copper,48000,0.41,6200.00,0.38,85.1
PR012,ERA008,2024-01-31,Nickel,35000,1.25,9800.00,1.2,83.7
PR013,S32009,2024-01-31,Aluminum,1250000,43.5,1850.00,42.1,88.0
PR014,IVN010,2024-01-31,Copper,3200,2.92,7200.00,2.8,84.2
PR015,IVN010,2024-02-28,Copper,3500,3.01,7050.00,2.88,85.0
